id,city,addr,tel
65,16,"No. 348, Section 2, Zhongshan Road, Taiping District, Taichung City, 411",04-23934191#525434
66,16,"No. 199, Section 1, Sanmin Road, West District, Taichung City, 403",04-22294411
67,16,"No. 36, Section 3, Huizhong Road, Nantun District, Taichung City, 408",04-22586688
68,16,"No. 168, Ronghe Road, Wuri District, Taichung City, 414",04-23388766
69,16,"No. 88, Section 1, Fengxing Road, Tanzi District, Taichung City, 427","04-36060666 "
70,16,"No. 100, Ankang Road, Fengyuan District, Taichung City, 420",04-25271180
71,16,"No. 222, Fuxin Road, Wufeng District, Taichung City, 413",04-37061668
72,16,"No. 500, Zhongming Road, North District, Taichung City, 404",04-36020126
73,16,"No. 80, Sec. 4, Yatan Rd., Daya Dist., Taichung City 428, Taiwan (R.O.C.)","04-25605600 "
74,12,"No. 1, Rongguang Road, Puli Township, Nantou County, 54552",0921-937367
75,12,"No. 200, Section 1, Taiping Road, Caotun Township, Nantou County, 542",0979-933795
76,12,"No. 870, Zhongxing Road, Nantou City, Nantou County, 540",049-2225595#1195
77,12,"No. 1, Tieshan Road, Puli Township, Nantou County, 545",049-2912151#1159
78,12,"No. 75, Section 2, Jishan Road, Zhushan Township, Nantou County, 557",049-2624266#32153
79,1,"No. 558, Section 1, Dacheng Road, Erlin Township, Changhua County, 526",04-8960128
80,1,"No. 456, Juguang Road, Yuanlin City, Changhua County, 510",04-8381456
81,1,"No. 80, Section 2, Zhongzheng Road, Puxin Township, Changhua County, 513",04-8298686
82,1,"No. 480, Jhongjheng Rd, Lukang Township, Changhua County, 505",04-7779595
83,1,"No. 311, Section 1, Zhongshan Road, Beidou Township, Changhua County, 521",04-8882517
84,1,"No. 180, Heguang Road, Hemei Township, Changhua County, 508",04-7566995
85,1,"No. 359, Juguang Road, Yuanlin City, Changhua County, 510",04-8383995
86,1,"No. 89, Huilai St., Yuanlin City, Changhua County 510014, Taiwan (R.O.C.) ",04-8375878
87,22,"No. 345, Zhuangjing Road, Douliu City, Yunlin County, 640",05-5332121
88,22,"No. 123, Xinde Road, Beigang Township, Yunlin County, 651",05-7837901
89,22,"No. 375, Shichang South Road, Xiluo Township, Yunlin County, 648",05-5871111
90,22,"No. 74, Xinsheng Road, Huwei Township, Yunlin County, 632",05-6337333
91,22,"No. 1500, Gongye Road, Mailiao Township, Yunlin County, 638",05-6915151
92,22,"No. 95, Xuefu Rd., Huwei Township, Yunlin County 632, Taiwan (R.O.C.)",05-6330002
93,2,"No. 600, Section 2, Shixian Road, West District, Chiayi City, 600",05-2359630
94,2,"No. 565, Section 2, Daya Road, East District, Chiayi City, 600",05-2756000
95,2,"No. 312, Beigang Road, West District, Chiayi City, 60096",05-2319090
96,3,"No. 42-50, Yingcaipu 5, Yonghe Village, Puzi City, Chiayi County",05-3790600
97,3,"No. 38, Shimayuan, Wanqiao Village, Zhuqi Township, Chiayi County",05-2791072
98,17,"No. 125, Zhongshan Rd, West Central District, Tainan City, 700",06-2200055
99,17,"No. 201, Taikang Lane, Liuying District, Tainan City",06-6226999
100,17,"No. 57, Section 1, Dongmen Road, East District, Tainan City, 701",06-2748316
101,17,"No. 20, Lingzilin, Madou District, Tainan City, 721",06-5702228
102,17,"No. 606, Jialixing,  Jiali District, Tainan City, 722",06-7263333
103,17,"No. 864, Zhongshan Road, Rende District, Tainan City, 717",06-2705911
104,17,"No. 22, Section 2, Minsheng Road, West Central District, Tainan City, 700",06-2221111
105,17,"No. 66, Section 2, Zhanghe Road, Annan District, Tainan City, 709",06-3553111
106,17,"No. 670, Chongde Road, East District, Tainan City, 701",06-2609926
107,17,"No. 73, Xinyi Street, Xinying District, Tainan City, 730",06-6351131
108,17,"No. 72, Nabari Ranch, Xinhua District, Tainan City, 712",06-5911929
109,17,"No. 427, Fuxing Road, Yongkang District, Tainan City, 710",06-3125101
110,7,"No. 482, Shanming Road, Xiaogang District, Kaohsiung City, 812",07-8036783#3134
111,7,"No. 553, Junxiao Road, Zuoying District, Kaohsiung City, 813",07-5817121
112,7,"No. 162, Chenggong 1st Road, Lingya District, Kaohsiung City, 802",07-3351121
113,7,"No. 134, Kaixuan 2nd Road, Lingya District, Kaohsiung City, 802",07-7222105
114,7,"No. 5, Jianjun Rd, Lingya District, Kaohsiung City, 802",07-7496751
115,7,"No. 136, Nanyang Road, Nanzih District, Kaohsiung City, 811",07-3517166
116,7,"No. 976, Zhonghua 1st Road, Gushan District, Kaohsiung City",07-5552565
117,7,"No. 60, Zhongxue Road, Qishan District, Kaohsiung City",07-6613811
118,7,"No. 68, Zhonghua 3rd Road, Qianjin District, Kaohsiung City, 801",07-2911101
119,7,"No. 171-2, Guangyuan Road, Fengshan District, Kaohsiung City, 830",07-7463762
120,7,"No. 360, Donglin West Road, Linyuan District, Kaohsiung City, 832",07-6437901
121,7,"No. 352, Jianguo 1st Road, Lingya District, Kaohsiung City, 802",07-2238153
122,7,"No. 12, Shoutian Road, Gangshan District, Kaohsiung City, 820",07-6240686
123,7,"No. 42, Jingwu Rd, Fengshan District, Kaohsiung City, 830",07-7418151
124,7,"No. 1, Dayi 2nd Road, Gangshan District, Kaohsiung City, 820",07-6250919#1099
125,7,"No. 1, Yida Road, Yanchao District, Kaohsiung City, 824",0978-060259
126,7,"No. 33, Qigang Road, Qijin District, Kaohsiung City, 805",07-5711188
127,7,"No. 389, Wujia 2nd Road, Fengshan District, Kaohsiung City, 830",07-7613111
128,7,"No. 305, Dachang 1st Road, Sanmin District, Kaohsiung City, 807",07-5599123
129,7,"No. 111, Xuefu Rd., Xiaogang Dist., Kaohsiung City 812, Taiwan (R.O.C.)",07-8017856
130,15,"No. 1, Anping 1st Lane, Zhaosheng Road, Neipu Township, Pingtung County 912",08-7704115
131,15,"No. 270, Ziyou Road, Pingtung City, Pingtung County, 900",08-7363011
132,15,"No. 5, Zhongshan Road, Donggang Township, Pingtung County, 928",08-8323146
133,15,"No. 139, Zhongshan Road, Fangliao Township, Pingtung County, 940",08-8789991
134,15,"No. 60, Dalian Road, Pingtung City, Pingtung County, 90053",08-7368686
135,15,"No. 12-2, Minsheng E Rd, Pingtung City, Pingtung County, 900",08-7223000
136,15,"No. 22, Lane 58, Dahu Road, Pingtung City, Pingtung County, 900",08-7560756
137,15,"No. 123, Zhongshan Road, Pingtung City, Pingtung County, 900",08-7665995
138,15,"No. 21, Hengxi Road, Hengchun Township, Pingtung County, 946",08-8892293
139,15,"No. 188, Hengnan Road, Hengchun Township, Pingtung County, 946",08-8892704
140,15,"No. 208, Xingzhong Road, Gaoshu Township, Pingtung County, 906",08-7962033
141,15,"No. 162 and 193, Siwei Road, Chaozhou Township, Pingtung County, 920",08-7800888
142,15,"No. 10, Nanmen Rd., Hengchun Township, Pingtung County 946, Taiwan (R.O.C.)","08-8894568 "
143,14,"No.54, Punei, Zhonghe Village, Qimei Township, Penghu County","06-9971005 "
144,14,"No. 8-13, Jibei Village, Baisha Township, Penghu County 884",06-9911430
145,14,"No. 3, Yugang New Residential Quarter, Niaoyu, Baisha Township, Penghu County 884,",06-9916092
146,14,"No. 10, Zhongzheng Road, Magong City, Penghu County, 880","06-9261151 "
147,14,"No. 1-3, Jiangjun'ao, Jiangjun Village, Wangan Township, Penghu County",06-9902066
148,14,"No. 5, Huayu, Wang?謏彫 Township, Penghu County 882",06-9991739
149,14,"No. 36-7, Xi'an Village, Wang?謏彫 Township, Penghu County 882","06-9991036 "
150,6,"No. 2, Section 1, Zhongzheng Road, Fenglin Township, Hualien County, 975","03-8764539 "
151,6,"No. 41, Guangfeng Road, Fengbin Township, Hualien County, 977",03-8791385
152,6,"No. 163, Jiali Road, Xincheng Township, Hualien County, 971",03-8263151
153,6,"No. 44, Minquan Road, Hualien City, Hualien County, 970",03-8241234
154,6,"No. 91, Xinxing Street, Yuli Township, Hualien County, 981","03-8883141 "
155,6,"No. 600, Zhongzheng Road, Hualien City, Hualien County, 970","03-8358141 "
156,6,"No. 1-1, Minquan St., Yuli Township, Hualien County 981, Taiwan (R.O.C.)","03-8882718 "
157,19,"No. 32, Zhongshan East Road, Chenggong Township, Taitung County, 961",089-854748
158,19,"No. 1000, Gengsheng Road, Taitung City, Taitung County, 950",089-222528
159,19,"No. 125-5, Heping Road, Guanshan Township, Taitung County, 956",089-814880
160,19,"No. 350, Kaifeng St, Taitung City, Taitung County, 950",089-960888
161,19,"No. 1, Wuquan Street, Taitung City, Taitung County, 950","089-324112 "
162,19,"No. 2, Hangzhou Street, Taitung City, Taitung County, 950",089-322833
163,10,"No. 217, Fuxing Village, Nangan Township, Lienchiang County 209","083-623995 "
164,10,"No. 25, Tangqi Village, Beigan Township, Lienchiang County 210","083-655592 "
165,10,"No. 123, Zhongliu Village, Dongyin Township, Lienchiang County 212","083-677206 "
166,10,"No. 14-1, Qingfan Village, Juguang Township, Lienchiang County 211","083-689122 "
167,10,"No. 30-1, Daping Village, Juguang Township, Lienchiang County 211","083-689038 "
168,17,"No. 69, Section 1, Datong Road, East District, Tainan City, 701",06-2705911
169,19,"No. 1-1, Zhongliao Village, Ludao Township, Taitung County 951",089-672511
170,19,"No. 36, Hongtou Village, Lanyu Township, Taitung County 952",089-732575
171,9,"No. 37, Houjing, Lieyu Township, Kinmen County 894",082-364268
